animal,section,row,col,label,mean_score,std_score,predictions
DK55,164,20374.019762845848,40675.43280632411,1,0.13129852910836537,1.0661787652480774,0
DK55,164,23441.218176159357,23975.608621226267,1,1.3818959211309751,1.366434361451484,0
DK55,164,26541.14521283395,29590.17269589672,0,0.6333415361742178,1.7971123687328634,0
DK55,164,20855.45957756737,40628.80517115805,1,4.6293415029843645,1.229164863233268,2
DK55,164,20852.043771043773,38326.84511784512,1,-1.5586242179075878,2.5078750539207753,0
DK55,164,20986.431524547803,40636.01808785529,1,-1.2091784360508124,2.4213413602401594,0
DK55,164,21077.629170230968,38505.17921300256,1,2.591704177856445,1.0410962742592829,2
DK55,164,21265.37660944206,35621.7017167382,0,0.08670792182286581,1.0604702786367544,0
DK55,164,21358.986646884277,35413.58902077151,0,1.3595547012674312,1.2401822232590534,2
DK55,164,21375.61033274956,35317.41330998248,0,0.3534910084058841,1.3971609835540966,0
DK55,164,21486.118464592982,41013.71806750496,1,2.815495693683624,0.6142646567031738,2
DK55,164,21476.555077452667,34953.61359724613,0,0.9436763354887565,1.39762950677729,0
DK55,164,21680.24520185308,35766.58338848445,0,-0.625731731702884,1.590692868950215,0
DK55,164,21794.71019771072,37551.081685744015,1,3.675472688674927,1.0745293743348807,2
DK55,164,21805.81195652174,34951.14239130435,0,0.5667392693459987,1.2396284759347969,0
DK55,164,21911.49139280125,41116.78951486698,1,3.5372188091278076,0.6060104475515108,2
DK55,164,21966.81277340333,41839.73665791776,1,4.501196122169494,1.0972452520027067,2
DK55,164,22345.970792767734,40489.79276773296,1,-2.125618953506152,2.618070205482391,0
DK55,164,25474.16654107008,31553.5046470736,0,1.6449636841813724,1.8432978784178071,0
DK55,172,10956.669278350517,34181.8206185567,1,2.2201891114314396,1.4914189066748071,0
DK55,172,16049.974984365228,37159.74046278924,1,1.1854848886529605,0.9262795678949597,2
DK55,172,16781.5,38054.87247474748,1,-0.3456168621778488,1.8502876976776534,0
DK55,172,16870.501587301587,37522.926984126985,1,1.6722018202145894,0.9178517185444551,2
DK55,172,16921.922702965483,38048.76762275158,1,3.9108489910761515,0.8747268857560323,2
DK55,172,17187.6289801569,38530.75749884633,1,0.09809933801492056,1.3882480711978338,0
DK55,172,17235.278072289155,37936.70891566265,1,3.674647613366445,0.8693026280461023,2
DK55,172,17362.72062084257,37698.31010452962,1,1.1440218798816204,1.3073544829062813,0
DK55,172,17375.224936815503,38001.859309182815,1,2.298551536599795,1.6173866362003422,0
DK55,172,17393.82242990654,37878.65379926859,1,3.9099015871683758,1.0927088974339183,2
DK55,172,17390.25109489051,37536.39513381996,1,3.5180781344572702,1.1499578745652732,2
DK55,172,17425.815173987452,38206.949229891616,1,-1.363663595728576,1.5761602306701525,0
DK55,172,17455.97450110865,37898.73614190688,1,4.614553840955098,0.6408233585406726,2
DK55,172,17493.838571428572,37781.33714285714,1,1.487961543103059,1.125745960073419,2
DK55,172,17507.543937708564,37840.46273637375,1,0.4381352794667085,1.1997046101893476,0
DK55,172,17573.302699896158,38201.28504672897,1,4.811963057518005,0.7936817674508632,2
DK55,172,17608.66460108443,38301.32455460883,1,3.396300689379374,1.1423134000702233,2
DK55,172,17620.592647058824,37301.73088235294,1,3.679650004704793,0.7777864574591364,2
DK55,172,17726.58228782288,37938.27084870849,1,3.2647783954938254,0.8351959557024714,2
DK55,172,17815.14769230769,37975.300591715975,1,-0.8058421013255914,1.9958277517842908,0
DK55,172,17818.481254781946,37303.6350420811,1,3.8787654558817546,0.820770778564652,2
DK55,172,17870.184139784946,37777.67943548387,1,3.4646323243776957,1.0482484488692265,2
