,name,max_score,dx,dy,dz,atlas_rig_dist_man,atlas_rig_dist_det,atlas_rig_score,atlas_aff_dist_man,atlas_aff_dist_det,atlas_aff_score,atlas_det_dist_man,atlas_det_dist_det,atlas_det_score
11,7N_L,2.100170179736111,594.75,594.75,600.0,2675.6650144188475,1162.4571795021714,0.0,2854.724342043932,992.0944320852354,0.0,2675.6650144188475,1162.4571795021714,0.0
12,7N_R,3.2530719340762846,594.75,594.75,600.0,160.13674316292298,3528.3360981798705,0.0,298.46883030248085,3551.5454674384114,0.0,160.13674316292298,3528.3360981798705,0.0
13,AP,2.433184016770737,594.75,594.75,600.0,454.4524901759336,335.70878997956976,0.9750290670656098,378.1856439510319,217.11584383103553,0.5096346504303901,454.4524901759336,335.70878997956976,0.9750290670656098
14,Amb_L,3.1820203835054004,594.75,594.75,600.0,152.47094180759996,779.2768605234521,0.0,90.6766134669858,669.1597553953885,0.0,152.47094180759996,779.2768605234521,0.0
15,DC_L,3.6520775836213626,594.75,594.75,600.0,187.15049194215925,752.9149329416166,0.0,72.4781706210629,908.3141593533239,0.0,187.15049194215925,752.9149329416166,0.0
16,DC_R,3.162591206331631,594.75,594.75,600.0,228.12812433712313,441.630908258369,0.0,299.6081218771254,214.51074195177284,0.5406677234835314,228.12812433712313,441.630908258369,0.0
17,IC,2.7696941831766644,1062.75,1062.75,600.0,659.3409527695138,1310.2020531445485,0.0,537.3243170865193,1113.8280501856332,0.0,659.3409527695138,1310.2020531445485,0.0
18,LC_L,3.275440268826353,594.75,594.75,600.0,182.9923428308522,337.56785742385165,-1.9855786000419253,206.51677043674968,314.3506172227548,-2.397592967800951,182.9923428308522,337.56785742385165,-1.9855786000419253
19,LC_R,3.2715476812090687,594.75,594.75,600.0,230.98019869962087,328.7763141296543,-2.0064826136795597,162.4803707759001,289.6200576817347,-1.8474461601250904,230.98019869962087,328.7763141296543,-2.0064826136795597
20,LRt_L,3.73461618624871,624.0,624.0,600.0,222.9835527314789,1180.584216422726,0.0,313.73111239080595,1196.1368024689862,0.0,222.9835527314789,1180.584216422726,0.0
21,LRt_R,2.554226449732992,624.0,624.0,600.0,152.93209197539093,692.9553442230961,0.0,131.76771895310335,709.8193135164842,0.0,152.93209197539093,692.9553442230961,0.0
22,PBG_L,3.8295806381031348,594.75,594.75,600.0,112.76685631483933,234.5260015405746,1.308578260263735,129.70564343220786,202.08757931730233,0.8003028113444357,112.76685631483933,234.5260015405746,1.308578260263735
23,PBG_R,4.162529597819154,594.75,594.75,600.0,191.61864342988292,61.23055387067669,2.9830157005520888,311.4932706090941,118.86561673408615,0.03273451924870739,191.61864342988292,61.23055387067669,2.9830157005520888
24,Pn_L,2.8902231763207498,653.25,653.25,600.0,298.80900107247686,356.40016857647487,-0.6397966962292481,425.6621836402286,362.3405051451273,0.0,298.80900107247686,356.40016857647487,-0.6397966962292481
25,Pn_R,4.022889258336457,653.25,653.25,600.0,281.1204387259123,1603.775606299769,0.0,584.5230681769732,1716.8941767544666,0.0,281.1204387259123,1603.775606299769,0.0
26,RtTg,3.916652228655882,780.0,780.0,600.0,213.5692662193416,943.9524943536363,0.0,459.708020931579,942.0114755970689,0.0,213.5692662193416,943.9524943536363,0.0
27,SNC_L,4.469258656447625,594.75,594.75,600.0,254.43511827281523,422.5780155158786,-1.4513160830667482,321.98063438477726,52.1948122341383,1.183641944761228,254.43511827281523,422.5780155158786,-1.4513160830667482
28,SNC_R,2.8644629059543782,594.75,594.75,600.0,257.7221282416425,781.1499507095031,0.0,554.7340927968986,844.7057582406991,0.0,257.7221282416425,781.1499507095031,0.0
29,SNR_L,2.516355326293158,838.5,838.5,600.0,1090.4662528556496,363.57719178894587,-0.7831807913953075,1402.05435589685,317.61053598706803,0.011641200068665952,1090.4662528556496,363.57719178894587,-0.7831807913953075
