name,DK39,DK41,DK43,DK52,DK54,DK55
7N_L_dy,-747.6199999999994,260.6000000000006,-317.9399999999998,,569.6500000000003,
7N_L_dz,-890.0,170.0,-330.0,,-10.0,
7N_L_dist,1517.5280928407885,1890.3734967675043,624.7242150909477,,711.9308859018553,
7N_R_dx,-1754.9589999999994,-1519.7889999999995,-1980.1289999999995,,-1754.7089999999998,
7N_R_dy,-1966.8399999999997,-1891.9399999999996,-2079.6799999999994,,-1757.0900000000001,
7N_R_dz,-1770.0,-1530.0,-1810.0,,-1430.0,
7N_R_dist,3175.09695557175,2868.8143139842628,3394.418913310641,,2865.531179865436,
DC_L_dx,-1282.835,993.9850000000001,-301.36499999999955,,134.6550000000002,
DC_L_dy,-1692.2939999999999,-1014.0640000000002,-1441.714,,-397.2840000000002,
DC_L_dz,-120.0,480.0,-140.0,,260.0,
DC_L_dist,2126.9519551839903,1498.910262931374,1479.5134744303612,,493.5246150710218,
DC_R_dx,2112.2850000000008,46.825000000000045,-6.8849999999997635,,-93.36500000000001,
DC_R_dy,434.1859999999997,493.24599999999975,589.7460000000001,,418.8659999999999,
DC_R_dz,-660.0,300.0,-120.0,,-160.0,
DC_R_dist,2255.1863346120654,579.2099767277837,601.870208384665,,458.0019095822635,
LC_L_dx,-106.41340000000014,1087.2765999999997,207.83659999999998,,549.8566,
LC_L_dy,-1177.459,-769.3490000000003,-1031.6190000000001,,-343.50900000000024,
LC_L_dz,-400.0,140.0,-380.0,,-60.0,
LC_L_dist,1248.0919470858548,1339.2790182439803,1118.8537944971006,,651.1072981042066,
LC_R_dx,714.6466000000004,224.43659999999966,-48.33340000000021,,139.34660000000008,
LC_R_dy,-604.1390000000001,-568.329,-576.9890000000004,,-420.1890000000003,
LC_R_dz,-480.0,80.0,-360.0,,-180.0,
LC_R_dist,1051.7146448597932,616.2545250629481,681.8008680520732,,477.88729911199806,
LRt_L_dx,1190.0400000000002,1688.3800000000008,229.61000000000013,,172.1199999999999,
LRt_L_dy,-1110.2200000000005,8.599999999999,-509.9400000000003,,349.0899999999999,
LRt_L_dz,-480.0,900.0,280.0,,440.0,
LRt_L_dist,1696.815738375856,1913.2958434073919,625.4274983561247,,587.4428674347829,
LRt_R_dx,1276.3300000000004,-346.2799999999993,-971.8399999999997,,-1222.9599999999994,
LRt_R_dy,-187.9200000000003,369.3599999999992,152.98999999999978,,297.1499999999992,
LRt_R_dz,-780.0,420.0,20.0,,60.0,
LRt_R_dist,1507.5583555206085,657.8272174363105,984.0116491688497,,1259.9719378224254,
Pn_L_dx,1199.4,944.9799999999999,233.07000000000016,,210.45999999999992,
Pn_L_dy,-229.29700000000025,160.3830000000005,-191.96699999999964,,162.89300000000026,
Pn_L_dz,-330.0,230.0,10.0,,350.0,
Pn_L_dist,1264.9258769623618,985.7027478347618,302.1141406637563,,439.6902785472975,
Pn_R_dx,1924.6000000000004,149.5999999999998,-203.31999999999994,,-467.47000000000014,
Pn_R_dy,1051.3530000000003,1282.0029999999997,1031.703,,983.1129999999996,
Pn_R_dz,-370.0,270.0,190.0,,450.0,
